Type,Customer,Address,Town,No. Machines,Latitude,Longitude,Serial Number
Vending,Sportlife MW AB - Nordicwellness Landvetter,Skansgraend 4,"438 32, Landvetter",1,57.6897672,12.2097304,2514003427
Vending,Fitness24Seven (Kalmar - Centrum),"Norra Laanggatan 30, 392 32",Kalmar,1,56.6639429,16.3622663,2515004595
Vending,Fresh Fitness Norrkoeping,"Kristinagatan 10, 60226 ",Norrkoeping,3,58.587745,16.192421,2515004596-2515004597-2515004601
Vending,Nordic Wellness Go?teborgs Nya Arena 1,"Krutva?gen 2, 415 28, ",Goeteborg,1,57.7354875,12.0351416,2515004598
Vending,Fitness24Seven (Eskilstuna aarby),"aarbygatan 3, 633 45 ",Eskilstuna,1,59.3829576,16.5185705,2515004602
Vending,Fresh Fitness Tyresoe,"Radiovaegen 5, 135 48",Tyresoe,3,59.2412633,18.2105092,2515004603-2515004605-2515004609
Vending,Fitness24Seven (Katrineholm - Centrum),"Koepmangatan 24, 641 30",Katrineholm,1,58.9943085,16.205483,2515004606
Vending,Paa G Djuraas,aelvuddsvaegen 35 785 61,Djuraas,1,57.5755218,12.0783006,2515004608
Vending,Gym & Fitness Sverige AB,"aarsta Hamnvaeg 9, 11743 ",Stockholm,1,59.3293235,18.0685808,2515004610
Vending,Formtoppen AB,"Norrlandsgatan 17,90329",Umeaa,1,63.8258471,20.2630354,2515004612
Vending,Formtoppen AB,"Norra Obbolavaegen 129, 90422",Umeaa,1,63.8258471,20.2630354,2515004613
Vending,Nordic Wellness Kungaelv,"Stenungs Torg., 44431",Stenungsund,1,58.0678388,11.8294346,2515004618
Vending,Fitness24Seven (Uddevalla C),"Norra Drottninggatan 10, 451 31 ",Uddevalla,1,58.3503154,11.9344484,2515004620
Vending,Fitness24Seven (Eskilstuna - Nyfors),"Vaestra aasgatan 27, 632 25 Eskilstuna",Eskilstuna,1,59.3688582,16.5046269,2515004622
Vending,FW Broendby,Soendre Ringvej 41-45,2605 Broendby,1,55.654473,12.395386,2515004623
Vending,FW Emdrup,Emdrup Station Emdrupvej 115A,2400 Koebenhavn NV,1,55.7219153,12.5409729,2515004624
Vending,"FW Ebeltoft, Ebic",oester Allé 17,8400 Ebeltoft,1,59.307903,18.156042,2515004627
Vending,FW Holbaek,"Ahlgade 61-63, kld.",4300 Holbaek,1,55.7169545,11.715536,2515004629
Vending,FW Birkeroed,Birkeroed Kongevej 64,Birkeroed 3460,1,55.8410294,12.4401994,2515004635
Vending,FW Ballerup,"Banegaardspladsen 3-5, 2. sal",2750 Ballerup,1,55.724508,12.354765,2515004636
Vending,Fitness world Koege,Tigervej 12,Koege,1,55.4752608,12.1757524,2515004639
Vending,FW Holte,Holte Midtpunkt 23 2 sal,2840 Holte,1,55.811471,12.471455,2515004641
Vending,FW Herlev BIG,Herlev Hovedgade 17,2730 Herlev,2,55.718883,12.450915,2515004642-2515004646
Vending,FW Ndr. Fasanvej,Nordre Fasanvej 218,KBH 2200,1,55.698507,12.536508,2515004644
Vending,Traeningsmagasinet Rappshuset AB (Arboga Gym),Glasbruksgatan 1,73231 Arboga,1,59.3936883,15.8381747,2519008584
Vending,Kommanditbolaget aelvhoegsborg,Storgatan 1,461 31 Trollhaettan,1,58.2892618,12.2926872,2519008585
Vending,Loop holbaek,Taastrup moellevej 5,4300 Holbaek,1,55.7037739,11.7081546,2519008589
Vending,Fresh Fitness,"Hauketoveien 8, ",1266 Oslo.,2,59.8470096,10.8044064,2519008593-2519008605
Vending,Fresh Fitness Halmstad,"Jaernvaegsgatan  4A, 302 49",Halmstad,2,55.6350412,13.210313,2519008596-2519008618
Vending,Sportlife i Kungsbacka AB (NW - Nacka),Gamla Landsvaegen 10,131 47 NACKA,1,59.307903,18.156042,2519008609
Vending,XerciseKristianstad AB (Haerloev),Saevvaegen 8,29159 Kristianstad,1,56.0293936,14.1566778,2519008611
Vending,Fresh Fitness Sollentuna,"Hovslagarevaegen 2, 192 54",Sollentuna,3,59.4499728,17.9483244,2519008612-2519008614-2519008621
Vending,PDL Group AB (PDL Center),"Palermogatan 34, Magasin 7, Frihamnen",11356 Stockholm,1,59.3293235,18.0685808,2519008615
Vending,Studio S i Hjaerup AB (Staffanstorp),Malmoevaegen 2,24532 Staffanstorp,1,55.641065,13.212229,2519008622
Vending,Fitness 24 Seven Uppsala - Kvarntorget,"Kvarntorgen 9, 753 20 Uppsala",Uppsala,1,59.8584151,17.6417382,2521010975
Vending,Fitness 24 Seven Mariestad - Knallen,"Nya Torget 4, 542 30 Mariestad",Mariestad,1,58.7090033,13.8233947,2521010977
Vending,Nordicwellness - Uddevalla City,"Kungsgatan 39, 451 30 Uddevalla",Uddevalla,1,58.349255,11.9418708,2521010981
Vending,Aktiv Helse Studie,Benloeseparken 2 (Benloese centeret),4100 - Ringsted,1,55.442952,11.791372,2521010985
Vending,Fit og sund Koege,Lykkebaekvej 14,4600 Koege,1,55.4792909,12.1636168,2521010988
Vending,FW Farum,Idraetsvaenget 2,3520 Farum,1,55.817297,12.351312,2521010990
Vending,FW Alleroed,Banetorvet 3,3450 Alleroed,1,55.870982,12.357554,2521010991
Vending,Fdk Gentofte,Gentoftegade 35,2820 Gentofte,1,55.7473823,12.5411794,2521010993
Vending,FW Peter bangs vej,H.V. Nyholmsvej 7,2000 Frederiksberg,1,55.681845,12.5179439,2521010996
